,ein,name,ico,street,city,state,zip,group,subsection,affiliation,classification,ruling,deductibility,foundation,activity,organization,status,tax_period,asset_cd,income_cd,filing_req_cd,pf_filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,ntee_cd,sort_name,lat,lon
0,387098075,RUNNYMEDE SANCTUARY UA OF DIANA S WISTER 08052013 TR,% BALLARD SPAHR LLP,304 CREEK RD,COATESVILLE,PA,19320-5003,0,3,3,1000,201408,1,3,0,1,1,201712.0,9,8,0,1,12,80101146.0,16283665.0,,D34,MARGARET DURICZ ET AL TTEE,39.903894,-75.863177
1,232890132,PURRFECT LOVE HUMANE SOCIETY,% DARLA K RISCH,PO BOX 165,NESCOPECK,PA,18635-0165,0,3,3,1000,199801,1,3,913000000,2,1,201812.0,1,1,0,1,12,2622.0,2622.0,,D20,,41.049051,-76.189182
2,811232808,VIRGINIA J MORRIS FOUNDATION FOR THE PROTECTION OF ANIMALS,,169 KLINGER RD,CANONSBURG,PA,15317-5906,0,3,3,1000,201607,1,3,0,1,1,201612.0,4,4,0,1,12,130099.0,155087.0,,D20,,40.310748,-80.179666
3,465673595,NAIDU FAMILY FOUNDATION,% SANJIV NAIDU,745 BENT CREEK DR,LITITZ,PA,17543-8352,0,3,3,1000,201408,1,3,0,1,1,201812.0,6,2,0,1,12,1167461.0,22339.0,,D99,,40.120001,-76.352065
4,461409103,HUMANE PENNSYLVANIA FOUNDATION,,1729 N 11TH ST,READING,PA,19604-1502,0,3,3,1000,201303,1,21,0,1,1,201812.0,6,4,1,0,12,1050693.0,446016.0,446016.0,D11,,40.362106,-75.915405
5,475663896,ARL FOREVER HOME INC,,6926 HAMILTON AVE,PITTSBURGH,PA,15208-1733,0,3,3,1000,201603,1,21,0,1,1,201712.0,8,1,2,0,12,15135665.0,3526.0,3526.0,D11,,40.455933,-79.903826
6,208814996,CATNIP ACRES INC,% CAROL PULTORAK,155 DARK HOLLOW RD,WAYNESBURG,PA,15370-2434,0,3,3,1000,200712,1,3,0,1,1,201712.0,3,4,0,1,12,40763.0,298275.0,,D20,,39.887493,-80.144948
7,461628911,EQUORUM ET PLUS FOUNDATION INC,% STANLEY P YAVOROSKI,5729 STONEY HILL RD,NEW HOPE,PA,18938-5432,0,3,3,1240,201502,1,3,0,1,1,201812.0,5,4,0,1,12,879343.0,470591.0,,D20,,40.32268,-75.013281
8,800081786,BEST LITTLE CAT HOUSE IN PA,% LYNN STITT PRES,PO BOX 6346,HARRISBURG,PA,17112-0346,0,3,3,4100,200402,1,3,0,1,1,201712.0,4,3,0,1,12,156604.0,63842.0,,D20,,40.344295,-76.790248
9,233043404,YORK COUNTY DOG TRAINING CLUB,% STEPHANIE CAPKOVIC,2291 JONQUIL RD,YORK,PA,17403-5150,0,7,3,1000,200106,2,0,0,1,1,201906.0,3,3,1,0,6,62088.0,73590.0,73178.0,D60,,39.92441,-76.708238
