,ein,name,ico,street,city,state,zip,group,subsection,affiliation,classification,ruling,deductibility,foundation,activity,organization,status,tax_period,asset_cd,income_cd,filing_req_cd,pf_filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,ntee_cd,sort_name,lat,lon
0,233054174,WEST CHESTER UNIVERSITY FOUNDATION,% CHIEF FINANCIAL OFFICER,202 CARTER DR,WEST CHESTER,PA,19382-4972,0,3,3,1000,200011,1,13,0,1,1,201806.0,8,8,1,0,6,42923176.0,15999296.0,13003863.0,B11,,39.95043,-75.59092
1,264775851,NORTHEAST PENNSYLVANIA EDUCATION RISK MANAGEMENT GROUP,% UNIVERSITY OF SCRANTON,800 LINDEN ST STE 103 O HARA,SCRANTON,PA,18510-2429,0,3,3,1000,201408,1,23,0,1,1,201812.0,1,0,2,0,12,71.0,0.0,0.0,B11,,41.40688,-75.658827
2,232981289,JERSEY SHORE SCHOOL EDUCATION FOUNDATION,,175 AP DRIVE,JERSEY SHORE,PA,17740-0000,0,3,3,1200,201405,1,21,0,1,1,201806.0,3,2,2,0,6,48257.0,20020.0,20020.0,B12,,41.25063,-77.267758
3,463433620,CRYSTAL LAKE FOUNDATION INC,% SCOTT RONDEAU,PO BOX 111,HILLSVILLE,PA,16132-0111,0,3,3,1000,201406,1,3,0,1,1,201712.0,6,4,0,1,12,1235450.0,109296.0,,B90,,41.011263,-80.497546
4,455299715,LUKE WILLIAM HAHN FOUNDATION,,629 GETZ RD,PEN ARGYL,PA,18072-9757,0,3,3,2000,201305,1,3,0,1,1,201812.0,4,2,0,1,12,138702.0,24047.0,,B82,,40.809833,-75.276806
5,352221255,THE FREDRIC RIEDERS FAMILY RENAISSANCE FOUNDATION,% MICHAEL RIEDERS,2300 STRATFORD AVE,WILLOW GROVE,PA,19090-4123,0,3,3,1000,200507,1,3,0,1,1,201812.0,6,6,0,1,12,1366815.0,2037540.0,,B82,,40.139691,-75.116149
6,454349962,YORK ACADEMY FOUNDATION,,32 W NORTH ST,YORK,PA,17401-2403,0,3,3,1000,201208,1,21,0,1,1,201806.0,8,6,1,0,6,44876047.0,1559397.0,1559397.0,B11,,39.96416,-76.736716
7,236293273,SOUTH PHILADELPHIA HIGH SCHOOL ALUMNI ASSOCIATION,,2002 S NEWKIRK ST,PHILADELPHIA,PA,19145-2420,0,3,3,1000,196502,1,2,34040000,1,1,201812.0,5,3,0,1,12,635601.0,28292.0,,B84,,39.928606,-75.193168
8,475280523,SRUF CAMPUS HOUSING INC,% EDWARD BUCHA,104 MALTBY AVENUE NO 100,SLIPPERY ROCK,PA,16057-0000,0,3,3,1000,201604,1,13,0,1,1,201806.0,9,8,1,0,6,118054827.0,14730562.0,14730562.0,B19,,41.060754,-80.053756
9,475655434,CIRCLE OF SEASONS FOUNDATION INC,% PHIL ARNOLD,8380 MOHR LN,FOGELSVILLE,PA,18051-1918,0,3,3,2000,201604,1,23,0,1,1,201807.0,1,2,2,0,7,7098.0,19177.0,19177.0,B11,,40.597751,-75.647755
10,251536204,GEORGE JUNIOR REPUBLIC,,233 GEORGE JUNIOR RD BOX 1058,GROVE CITY,PA,16127-4417,0,3,3,1000,198703,1,23,927000000,1,1,201806.0,9,7,1,0,6,106148992.0,8849803.0,8849803.0,B12,,41.170823,-80.089581
11,454985731,UPENN INTERNATIONAL,% MARYANN PICCOLO,3451 WALNUT ST RM 731,PHILADELPHIA,PA,19104-6205,0,3,3,1000,201401,1,21,0,1,1,201806.0,7,6,1,0,6,6502597.0,4506061.0,4506061.0,B02,,39.952967,-75.192676
12,455360534,CRISTO REY PHILADELPHIA HIGH SCHOOL WORK STUDY PROGRAM,,5218 N BROAD ST,PHILADELPHIA,PA,19141-1628,0,3,3,1000,201409,1,21,0,1,1,201806.0,5,6,1,0,6,536263.0,3222506.0,3222506.0,B11,,40.033002,-75.14617
13,461461219,HOMER-CENTER EDUCATION FOUNDATION,% CHARLES KOREN,65 WILDCAT LN,HOMER CITY,PA,15748-1602,0,3,3,1000,201503,1,21,0,1,1,201812.0,2,0,2,0,12,13567.0,0.0,0.0,B11,,40.532729,-79.160016
14,473515830,THE POINT PARK UNIVERSITY FOUNDATION,,201 WOOD ST,PITTSBURGH,PA,15222-1912,0,3,3,1200,201710,1,23,0,1,1,201808.0,6,3,1,0,8,4872550.0,52013.0,52013.0,B90,,40.438437,-80.001932
15,237179225,LA SALLE UNIVERSITY ALUMNI ASSOCIATION,% LASALLE UNIVERSITY,1900 W OLNEY AVE,PHILADELPHIA,PA,19141-1108,0,3,3,1000,201611,1,3,0,1,1,201906.0,4,3,0,1,6,335234.0,36976.0,,B84,,40.039293,-75.152836
16,203582793,CAI EDUCATION ADVANCEMENT TRUST,% ANTHONY SALVAGGIO,1390 RIDGEVIEW DRIVE,ALLENTOWN,PA,18104-9065,0,3,3,2000,200609,1,3,0,2,1,201806.0,1,3,0,1,6,1501.0,57012.0,,B92,,40.606958,-75.565575
17,815449140,PENNSYLVANIA CPA FOUNDATION,% JEN CRYDER,1801 MARKET ST STE 2400,PHILADELPHIA,PA,19103-1609,0,3,3,2000,201708,1,21,0,1,1,201904.0,6,6,1,0,4,3006322.0,1140358.0,1132730.0,B60,,39.953171,-75.170007
18,251877336,WINDBER RESEARCH INSTITUTE,% F NICHOLAS JACOBS,620 7TH ST,WINDBER,PA,15963-1300,0,3,3,2000,200109,1,12,0,1,1,201806.0,7,7,1,0,6,8314969.0,8152154.0,8152154.0,B99,,40.240698,-78.837976
19,201535826,RUSSELL I & JEANNE M SCHOLARSHIP FUND,,3501 LEECHBURG RD,PITTSBURGH,PA,15239-1038,0,3,3,1000,201408,1,3,0,5,1,201812.0,3,1,0,1,12,56611.0,5436.0,,B82,,40.504816,-79.76342
20,203698368,LAUREN TALBOT MEMORIAL SCHOLARSHIP FUND,% TERRANCE TALBOT,245 WORTHINGTON MILL RD,RICHBORO,PA,18954-1936,0,3,3,2000,201805,1,3,0,1,1,201812.0,3,1,0,1,12,38672.0,3070.0,,B82,,40.232065,-75.003175
21,233083881,ISAAC NEWTON FOUNDATION INC,% SANTILLI & THOMSON LLC,1800 BYBERRY RD,PHILADELPHIA,PA,19116-3012,6250,3,6,1000,201701,1,21,0,1,1,201806.0,9,6,1,0,6,61662854.0,4442206.0,4424374.0,B11,,40.112156,-75.004437
22,463698825,TEC CENTRO LTD,,453 S LIME ST STE B,LANCASTER,PA,17602-3652,0,3,3,1000,201503,1,21,0,1,1,201812.0,6,3,1,0,12,2670551.0,50000.0,50000.0,B11,,40.035732,-76.299281
23,201100962,PROPEL SCHOOLS FOUNDATION,% HARMONY PRINCE,3447 E CARSON ST SUITE 200,PITTSBURGH,PA,15203-2150,0,3,3,1200,200411,1,21,0,1,1,201806.0,8,6,1,0,6,13563175.0,3393428.0,3083519.0,B11,BARBARA HALL ACCTING MGR,40.419851,-79.957754
24,461569569,NEAL MARTIN CHRISTENSEN FOUNDATION,% NEAL M CHRISTENSEN,675 SAXONBURG RD,BUTLER,PA,16002-0957,0,3,3,2000,201407,1,3,0,1,1,201810.0,6,6,0,1,10,4211164.0,2374437.0,,B82,,40.799631,-79.849464
25,222842807,JEWISH DAY SCHOOL OF ALLENTOWN PENNSYLVANIA ENDOWMENT FOUNDATION,,2313 W PENNSYLVANIA ST,ALLENTOWN,PA,18104-2943,0,3,3,1000,201408,1,21,46602000,1,1,201806.0,4,2,2,0,6,239801.0,10967.0,10967.0,B11,,40.610728,-75.51319
26,251819940,EDINBORO UNIVERSITY FOUNDATION,% JESSICA CULVER,210 MEADVILLE STREET,EDINBORO,PA,16412-0000,0,3,3,2000,199901,1,13,0,1,1,201806.0,8,6,1,0,6,32903073.0,1419130.0,1394351.0,B11,,41.870617,-80.129405
27,466365494,ALUMNI FUND OF THE PENN CHARTER ALUMNI SOCIETY,% WILLIAM PENN CHARTER SCHOOL,3000 W SCHOOL HOUSE LN,PHILADELPHIA,PA,19144-5412,0,3,3,1000,201407,1,21,0,2,1,201812.0,5,5,1,0,12,676986.0,522100.0,34968.0,B84,PETER DAVIS TTEE,40.024398,-75.184932
28,454379593,GREEN & GOLD EDUCATION ENDOWMENT FUND,,301 N 4TH ST,ALLENTOWN,PA,18102-3007,0,3,3,2000,201411,1,23,0,1,1,201806.0,1,1,2,0,6,627.0,208.0,208.0,B11,,40.608166,-75.46743
29,208353437,THE BISBEE PROJECT,% STEVEN J BISBEE,250 ELKS CLUB RD,BOALSBURG,PA,16827-1682,0,3,3,2000,200711,1,3,0,1,1,201712.0,2,1,0,1,12,19550.0,1250.0,,B90,,40.783832,-77.75925
30,455468887,MTEF COMMUNITY PARTNERS LLC,% MANHEIM TOWNSHIP EDUCATIONAL FOUN,450A CANDLEWYCK RD,LANCASTER,PA,17601-2877,0,3,3,1000,201507,1,21,0,5,1,201906.0,1,3,2,0,6,9915.0,29286.0,29286.0,B12,,40.084185,-76.334561
31,364751570,NORTHEAST PENNSYLVANIA EDUCATION CONSORTIUM,% THE UNIVERSITY OF SCRANTON,800 LINDEN ST,SCRANTON,PA,18510-2429,0,3,3,2000,201407,1,21,0,1,1,201812.0,3,4,1,0,12,39262.0,111105.0,111105.0,B12,,41.40688,-75.658827
32,260408476,GREEN VALLEY ACADEMY,% MARIAM T GREEN,100 N VALLEY RD,PAOLI,PA,19301-1384,0,3,3,2000,200904,1,12,0,1,1,201812.0,4,5,1,0,12,219834.0,545711.0,545711.0,B28,,40.044843,-75.484805
33,471845036,CLARENCE SCHOCK SCHOLARSHIP AND FELLOWSHIP CHARITABLE TRUST II,% ORRSTOWN BANK,77 E KING ST,SHIPPENSBURG,PA,17257-1307,0,3,3,1000,201501,1,23,0,2,1,201810.0,7,6,1,0,10,6334929.0,3022018.0,617022.0,B82,,40.051129,-77.519061
34,472368980,CCS FOUNDATION,,435 CREAMERY WAY,EXTON,PA,19341-2508,0,3,3,1000,201503,1,21,0,1,1,201706.0,1,2,2,0,6,6726.0,21041.0,21041.0,B90,,40.01948,-75.656074
35,232825881,TEMPLE UNIVERSITY HEALTH SYSTEM INC,% CHIEF LEGAL CONSEL NO 936,2450 W HUNTING PARK AVE,PHILADELPHIA,PA,19129-1302,0,3,3,1000,199605,1,21,179000000,1,1,201806.0,9,9,1,0,6,628392303.0,161822099.0,125435706.0,B19,,40.008901,-75.16902
36,453986393,CHARTER ARTS FOUNDATION,,321 E 3RD ST,BETHLEHEM,PA,18015-1309,0,3,3,1000,201303,1,21,0,1,1,201806.0,8,6,1,0,6,29350793.0,1423948.0,1423948.0,B11,,40.612144,-75.374371
37,222837815,PENNSYLVANIA PUBLIC EDUCATION FOUNDATION,,400 BENT CREEK BLVD,MECHANICSBURG,PA,17050-1873,0,3,3,1000,201412,1,21,59000000,1,1,201806.0,6,6,1,0,6,1542284.0,1873818.0,1873818.0,B12,,40.261445,-77.032364
38,203102354,SOCIAL WORK HEALTH LEADERSHIP FOUNDATION,% JOSEPH M BRADEN,200 N 20TH ST SUITE 200,PHILADELPHIA,PA,19103-0000,0,3,3,1000,201206,1,21,0,1,1,201806.0,3,3,2,0,6,84858.0,33717.0,33717.0,B82,,39.957428,-75.17239
39,473349032,INDUSTRIAL ARCHIVES & LIBRARY,,18 W 4TH ST,BETHLEHEM,PA,18015-1604,0,3,3,1200,201506,1,3,0,1,1,201812.0,8,5,0,1,12,13769010.0,790533.0,,B70,,40.610367,-75.378564
40,473936999,FREIRE SCHOOLS COLLABORATIVE,% KELLY DAVENPORT,1617 JFK BLVD,PHILADELPHIA,PA,19103-1821,0,3,3,1000,201508,1,21,0,1,1,201806.0,4,6,1,0,6,409648.0,2043444.0,2043444.0,B11,BUILD THE FUTURE,39.952896,-75.174298
41,273053039,BETA STATE SCHOLARSHIP FUND,% RICHARD CAPUTO,4013 INDIAN GUIDE RD,LAFAYETTE HL,PA,19444-1308,0,3,3,1200,201501,1,21,0,1,1,201809.0,4,1,2,0,9,150055.0,32.0,32.0,B11,,40.098771,-75.266994
42,464483460,CHARLES HENRY LEACH II FUND FOR DUQUESNE UNIVERSITY,% DUQUESNE UNIV OFFICE OF DVLPMNT,600 FORBES AVE,PITTSBURGH,PA,15219-3016,0,3,3,1000,201409,1,21,0,1,1,201812.0,6,3,1,0,12,3275589.0,72118.0,72118.0,B11,,40.43803,-79.994033
43,270080697,DUTCH AMERICAN SOCIAL RESEARCH FOUNDATION,,429 LEOPARD RD,BERWYN,PA,19312-1925,0,3,3,1000,200502,1,3,0,1,1,201712.0,3,1,0,1,12,85713.0,1649.0,,B82,,40.033114,-75.450946
44,251813944,HOSPICE AND PALLIATIVE NURSES FOUNDATION,% DONNA CAROTHERS,ONE PENN CENTER WEST RM/STE 425,PITTSBURGH,PA,15276-0109,0,3,3,1200,201512,1,21,0,1,1,201812.0,6,6,1,0,12,1222009.0,1039070.0,1039070.0,B82,,40.334471,-79.96042
45,251867640,S W SMITH MEMORIAL LIBRARY ROTARY TRUST FUND,% JOHN TODD JR,PO BOX 41,PORT ALLEGANY,PA,16743-0041,0,3,3,1000,201403,1,24,0,1,1,201812.0,4,3,2,0,12,113200.0,34410.0,14050.0,B11,,41.8109,-78.27974
46,237359440,MANSFIELD UNIVERSITY FOUNDATION INC,,PO BOX 532,MANSFIELD,PA,16933-0532,0,3,3,2100,197410,1,13,40602000,1,1,201906.0,8,6,1,0,6,20786913.0,1678264.0,1127492.0,B43,,41.793666,-77.072151
47,454525018,GREENWOODS FOUNDATION FOR ENVIRONMENTAL EDUCATION,% GERALD SANTILLI,468 DOMINO LN,PHILADELPHIA,PA,19128-4363,0,3,3,1000,201603,1,21,0,1,1,201806.0,3,2,2,0,6,77337.0,20716.0,10754.0,B11,,40.043868,-75.235502
48,813536372,WEST BRANCH COMMUNITY EDUCATION FOUNDATION,,516 ALLPORT CUTOFF,MORRISDALE,PA,16858-9727,0,3,3,1200,201711,1,23,0,1,1,201712.0,4,4,1,0,12,178983.0,185544.0,179514.0,B11,,40.978644,-78.203752
49,251887212,MICHAEL BEDELL SCHOLARSHIP FUND,% ROBERTA BEDELL,PO BOX 27,BIG RUN,PA,15715-0027,0,3,3,1000,200401,1,3,0,2,1,201812.0,1,1,0,1,12,6779.0,203.0,,B82,,40.970448,-78.875799
50,251536307,GEORGE JUNIOR REPUBLIC REALTY,,PO BOX 1058,GROVE CITY,PA,16127-5058,0,3,3,1000,198703,1,23,603000000,1,1,201806.0,8,6,1,0,6,35531362.0,4079253.0,3205078.0,B12,,41.170823,-80.089581
51,272334407,CIM FOUNDATION,% COLTON MCBRYER,1 CHAMPION WAY,CANONSBURG,PA,15317-5825,0,3,3,2000,201406,1,3,0,1,1,201812.0,1,1,0,1,12,4964.0,4520.0,,B99,,40.285798,-80.178815
52,472218008,AGI FUNDING CORPORATION,% SAMUEL GREENHALGH JR,10 N HIGH STREET STE 400,WEST CHESTER,PA,19380-3014,0,3,3,1200,201503,1,21,0,1,1,201903.0,1,0,2,0,3,1000.0,0.0,0.0,B11,,39.960617,-75.605421
53,463950578,PI KAPPA ALPHA FRATERNITY,% TYLER PRESCOTT,110 W ROSSDALE AVE STE 238,WEST CHESTER,PA,19383-1007,355,7,9,1000,194103,2,0,36034000,5,1,201706.0,1,3,1,0,12,8771.0,67180.0,67180.0,B83,MU LAMBDA CHAPTER,39.950778,-75.598646
54,236390965,AMERICAN LEGION,% TREASURER,PO BOX 155,WRIGHTSVILLE,PA,17368-0155,925,19,9,1000,194603,2,0,907908000,5,1,201712.0,2,5,1,0,12,20042.0,541533.0,131394.0,B83,0469 ABEL POFF LEITHISER POST PA,39.983859,-76.518703
55,331021873,AMERICAN STUDENT DENTAL ASSOCIATION,% PITTSBURGH CHAPTER,3501 TER ST SALK HALL,PITTSBURGH,PA,15203-0000,5449,6,9,2000,197110,2,0,0,5,1,201812.0,3,4,1,0,12,53110.0,117089.0,107181.0,B80,UNIV OF PITTSBURG ASDA,40.430526,-80.058492
56,742986045,CHEVRON PHILLIPS CHEMICAL CO LP HEALTH & BENEFIT TR VEBA,% THE BANK OF NEW YORK MELLON,PO BOX 535007,PITTSBURGH,PA,15253-5007,0,9,3,1000,200110,2,0,0,1,1,201712.0,8,9,1,0,12,19559646.0,100766148.0,100084672.0,B99,,40.434436,-80.024817
57,453248734,SURGICAL COUNCIL ON RESIDENT EDUCATION,% JESSICA SCHREADER,1617 JOHN F KENNEDY BLVD STE 860,PHILADELPHIA,PA,19103-1841,0,4,3,3000,201209,2,0,0,1,1,201806.0,6,6,1,0,6,3823651.0,2033884.0,2033884.0,B03,,39.953906,-75.166803
58,320351195,AMERICAN STUDENT DENTAL ASSOCIATION,% TEMPLE CHAPTER,3223 N BROAD ST,PHILADELPHIA,PA,19140-5007,5449,6,9,2000,197110,2,0,0,5,1,201812.0,1,3,1,0,12,2277.0,73062.0,73062.0,B80,TEMPLE UNIV KORNBEG SCHOOL OF DENTI,40.001935,-75.152787
59,250322785,UKRAINIAN AMERICAN CITIZENS CLUB,% GREG SEMBRAT,302 MANSFIELD BLVD,CARNEGIE,PA,15106-2495,0,7,3,1000,200207,2,0,0,1,1,201812.0,4,4,1,0,12,163706.0,255880.0,153381.0,B99,,40.409798,-80.084965
60,232191262,ZETA THETA CHAPTER OF ALPHA GAMMA DELTA FRATERNITY,% LAFAYETT COLLEGE,FARINON CTR BOX 9480 LAFAYETTE COL,EASTON,PA,18402-0000,0,7,3,1000,201702,2,0,36000000,5,1,201806.0,1,3,1,0,6,9634.0,71321.0,71321.0,B83,,41.793674,-78.67975
61,911873263,GAMMA ALPHA CHAPTER OF DELTA PHI EPSILON SORORITY,% GAMMA ALPHA,251 S CAMAC ST,PHILADELPHIA,PA,19107-5609,0,7,3,1000,201803,2,0,36205319,5,1,201806.0,2,4,1,0,6,10683.0,144852.0,144852.0,B83,,39.947083,-75.161638
62,363750815,ALPHA EPSILON PI FRATERNITY,,4 FARRINGTON SQ BOX 2943,BETHLEHEM,PA,18015-3033,1064,7,9,1000,196009,2,0,319036000,5,1,201904.0,2,4,1,0,4,12057.0,148192.0,148192.0,B83,SIGMA ETA,40.58883,-75.351958
63,471380449,THETA ZETA HOUSE COOPERATIVE CORPORATION OF KAPPA DELTA SORORIT,,82 SAYRE DR,BETHLEHEM,PA,18015-3212,0,4,3,3000,201909,2,0,0,2,1,201806.0,4,4,2,0,6,148102.0,193841.0,193841.0,B83,,40.606747,-75.375041
64,363448639,EDUCATION SPECIAL INTEREST GTROUP - ASSOC OF INFO TECH PREFESSIONALS,% PETER Y WU,6001 UNIVERSITY BLVD,CORAOPOLIS,PA,15108-2574,0,6,3,2000,201803,2,0,200279000,5,1,201812.0,2,1,2,0,12,23209.0,5972.0,5972.0,B90,,40.526342,-80.209544
65,230518810,UPSILON ASSOCIATION OF DELTA SIGMA PHI FRATERNITY,% M WELTER SHDC LLC,595 E LANCASTER AVE STE 203,ST DAVIDS,PA,19087-5145,0,7,3,1000,201508,2,0,32003000,5,1,201712.0,5,3,1,0,12,538776.0,80600.0,80600.0,B83,,40.039555,-75.365854
66,464985768,DELTA PHI EPSILON INTERNATIONAL SORORITY- GAMMA CHAPTER,% GAMMA,251 S CAMAC ST,PHILADELPHIA,PA,19107-5609,0,7,3,1000,201803,2,0,0,5,1,201806.0,2,4,1,0,6,12106.0,214098.0,214098.0,B83,,39.947083,-75.161638
67,061513758,USMA CLASS OF 1967 ALUMNI ASSOCIATION,% ASSN GRADUATE US MILITARY ACADEMY,535 CROSSFIELD RD,KNG OF PRUSSA,PA,19406-1607,0,19,3,1000,199810,1,0,0,5,1,201812.0,3,1,2,0,12,43753.0,9698.0,9698.0,B84,,40.097101,-75.386038
