,ein,name,ico,street,city,state,zip,group,subsection,affiliation,classification,ruling,deductibility,foundation,activity,organization,status,tax_period,asset_cd,income_cd,filing_req_cd,pf_filing_req_cd,acct_pd,asset_amt,income_amt,revenue_amt,ntee_cd,sort_name,lat,lon
0,371709239,BECAUSE WE CARE ABOUT YOU INC,% MARIA A SICAT,727 WELSH RD STE 101,HUNTINGDON VY,PA,19006-6357,0,3,3,1000,201502,1,13,0,1,1,201412.0,2,3,2,0,12,11209.0,28750.0,28750.0,P12,,40.090226,-75.093986
1,202662152,LUBAVITCH HOUSE AT PENN INC,% FRANK S LEVIN,4032-34 SPRUCE STREET,PHILADELPHIA,PA,19104-4246,0,3,3,1000,201402,1,21,0,1,1,201810.0,6,4,1,0,10,4182719.0,159017.0,159017.0,P19,,39.95032,-75.191689
2,451585482,STRAUSSTOWN VOLUNTEER FIRE COMPANY AND COMMUNITY CAMPUS,% CHARLES SNYDER,PO BOX 50,STRAUSSTOWN,PA,19559-0050,0,3,3,1000,201109,1,21,0,1,1,201812.0,6,4,1,0,12,2067951.0,333209.0,332347.0,P20,,40.49231,-76.183
3,461953776,RENEW THE I DO FOUNDATION,% SCHNEIDER DOWNS & CO INC,1 PPG PL STE 1700,PITTSBURGH,PA,15222-5416,0,3,3,1000,201501,1,3,0,1,1,201806.0,4,5,0,1,6,251041.0,894587.0,,P99,,40.439258,-80.003506
4,454674010,EAST END COMMUNITY HOUSE BUILDING FUND,% M ZELENITZ,6140 STATION ST,PITTSBURGH,PA,15206-3134,0,3,3,1000,201312,1,21,0,1,1,201806.0,7,4,1,0,6,9642314.0,106710.0,106710.0,P11,,40.495284,-79.929592
5,233100879,WORKPLACE TECHNOLOGY FOUNDATION,% JANET L FIORE,112 N 8TH ST STE 210,PHILADELPHIA,PA,19107-2476,0,3,3,1000,200205,1,3,0,1,1,201812.0,4,6,0,1,12,401544.0,1174226.0,,P80,,39.953651,-75.153031
6,810878020,PITTSBURGH CONSERVATION CORPS,,201 NORTH BRADDOCK AVENUE ROOM 230,PITTSBURGH,PA,15208-2598,0,3,3,1000,201607,1,21,0,1,1,201812.0,4,5,1,0,12,392917.0,622257.0,622257.0,P80,,40.448011,-79.894536
7,542152662,2800 AMERICAN STREET COMPANY,% AARON BINDER,216 W SOMERSET ST,PHILADELPHIA,PA,19133-3534,0,3,3,1000,201110,1,21,0,1,1,201806.0,8,6,1,0,6,18490893.0,2011571.0,1933802.0,P11,,39.992978,-75.134949
8,461354216,INDIAN CREEK CARING FOUNDATION,,420 COWPATH RD,SOUDERTON,PA,18964-2036,0,3,3,1000,201407,1,22,0,1,1,201806.0,6,4,1,0,6,1825079.0,236145.0,199814.0,P11,,40.313103,-75.339079
9,233060453,TUNG ON ASSOCIATION INC,,131 N 10TH ST,PHILADELPHIA,PA,19107-2402,0,3,3,1200,200212,1,3,0,1,1,201712.0,4,3,0,1,12,494608.0,42139.0,,P84,,39.954419,-75.156039
10,386739983,RHEA HUNTING TRUST FBO THE KALAMAZOO COMMUNITY FOUNDATION,% PNC BANK NA,PO BOX 609,PITTSBURGH,PA,15230-0609,0,3,3,1000,201704,1,24,0,2,1,201812.0,5,4,1,0,12,996125.0,416027.0,165674.0,P11,,40.434436,-80.024817
11,680588520,TRI-STATE ADVOCACY PROJECT FOR SPINAL CORD & BURN INJURED SURVIVO,% CYNTHIA J CLARKE,345 BEVERLY DR,COLLEGEVILLE,PA,19426-3038,0,3,3,1000,200603,1,3,0,1,1,201806.0,3,3,0,1,6,28601.0,80800.0,,P20,,40.187887,-75.431707
12,232864950,LIBERIAN REFUGEE RELIEF ORGANIZATION,,6747 GROVERS AVE,PHILADELPHIA,PA,19142-2608,0,3,3,1000,201903,1,3,994559902,1,1,201612.0,1,1,0,1,12,1415.0,1500.0,,P20,,39.916417,-75.229286
13,460549699,CFG IMPACT,% KAREN ROBINSON,1536 E LANCASTER AVE,PAOLI,PA,19301-1504,0,3,3,1000,201512,1,21,0,1,1,201809.0,2,0,2,0,9,10310.0,0.0,0.0,P12,,40.04241,-75.46635
14,300706945,LANDIS COMMUNITIES,% ERIC BENDER CFO,1001 E OREGON RD,LITITZ,PA,17543-9205,0,3,3,1000,201211,1,23,0,1,1,201806.0,6,6,1,0,6,3996846.0,3974647.0,3974647.0,P19,,40.11323,-76.26688
15,463589667,CHRIST CENTERED FAMILY,,855 S SHARON AVE,RED LION,PA,17356-9021,0,3,3,1000,201409,1,3,0,1,1,201812.0,4,1,0,1,12,349283.0,9447.0,,P40,,39.936638,-76.646148
16,270652102,CITIZENS ALLIANCE OF PENNSYLVANIA,,PO BOX 6595,HARRISBURG,PA,17112-0595,0,4,3,3000,201707,2,0,0,1,1,201712.0,4,4,1,0,12,320755.0,285060.0,285060.0,P20,,40.344295,-76.790248
17,462512249,LOCAL LABOR MGMT COOP COMM OF IBEW LOCAL 143,% ROBERT S BAIR,1501 REVERE ST,HARRISBURG,PA,17104-3412,0,5,3,1000,201406,2,0,0,2,1,201905.0,4,3,2,0,5,141697.0,34438.0,34438.0,P02,,40.253408,-76.861339
18,814818733,AMERICAN LEGION HOME ASSOCIATION OF BEDFORD POST 113 INC,,3721 BUSINESS 220,BEDFORD,PA,15522-1123,0,7,3,1000,201810,2,0,0,1,1,201809.0,2,5,1,0,9,18903.0,696024.0,319293.0,P20,,39.816591,-78.661106
